filename_only	use_xml	title	title_locations	methods_sections	content_locations	content_locations_filtered	location_sentences
SAADAT, HASANLOU et al. - RICE CROP MAPPING USING SENTINEL1	True	RICE CROP MAPPING USING SENTINEL-1 TIME SERIES IMAGES (CASE STUDY: MAZANDARAN, IRAN)		['2.1. Study Areas']	Iran,; Iran; Iran; Asia (in the Middle East); Iran,; Iran; Iran; Gilan; Mazandaran,; Caspian Sea; Mazandaran; Lee	Iran,; Iran; Iran; Asia (in the Middle East); Iran,; Iran; Iran; Gilan; Mazandaran,; Caspian Sea; Mazandaran	['In Iran, different vareties of rice are cultivated, which they are specifically cultivated in Iran and has a high demand among Iranian consumers whose main priority is Iranian rice to consume.', 'Iran is a large country in the southwest of Asia (in the Middle East) with an estimated area of 1,648,195 km2, and historical records have shown that since the firstcentury of A.C. rice has been cultivated in Iran, and now Iran is a medium rice producer.', 'Only 3% of the annual cultivated areas in Iran are rice-cultivated paddies and about 70% of the rice cultivation area is located in the northern provinces of Gilan and Mazandaran, which are located near the Caspian Sea.', 'The study area is located in the eastern region of Mazandaran province in the northern UTM zone of 39 with an area of 73.23 km2 and in this area rice growth stages, from transplanting to harvesting, last from 85 to 100 days (Fig.']
SAHU, HALDAR et al. - CLASSIFICATION OF ORCHARD CROP USING	True	CLASSIFICATION OF ORCHARD CROP USING SENTINEL-1A SYNTHETIC APERTURE RADAR DATA		['2. Study Area', '3. Methodology']	Saharanpur; Uttar Pradesh; Dehradun; Uttarakhand; Shivalik; Yamuna; Yamunanagar; Haryana; Saharanpur; Uttar Pradesh State	Saharanpur; Uttar Pradesh; Dehradun; Uttarakhand; Shivalik; Yamuna; Yamunanagar; Haryana; Saharanpur; Uttar Pradesh State	['Saharanpur is the upper most district of Uttar Pradesh separated from Dehradun district of Uttarakhand and surrounded by Shivalik hills in the north east parts.', 'The river Yamuna forms its boundary in the west, which separates it from Karnal and Yamunanagar districts of Haryana.', 'Saharanpur district is located in the western part of Uttar Pradesh State.']
SANCHES, FEITOSA et al. - LEM BENCHMARK DATABASE FOR TROPICAL	True	LEM BENCHMARK DATABASE FOR TROPICAL AGRICULTURAL REMOTE SENSING APPLICATION		['Material and Methods']			
SANTOS, LAMPARELLI et al. - CLASSIFICATION OF CROPS PASTURES	True	Classification of Crops, Pastures, and Tree Plantations along the Season with Multi-Sensor Image Time Series in a Subtropical Agricultural Region		['2. Materials and Methods', '2.1. Study Area']	Brazil, at the; Sao Paulo state (; South-West,	Brazil, at the; Sao Paulo state (; South-West,	['          The area is located in the southeastern region of Brazil, at the center of Sao Paulo state (Figure 1).', 'The study area covers 12,000 km2, and it can be divided into four main agricultural regions: dominating annual croplands in the South-West, production of forest plantations in the Centre, pastures in the East and sugarcane in the North.']
SARZYNSKI, GIAM et al. - COMBINING RADAR AND OPTICAL IMAGERY	True	Combining Radar and Optical Imagery to Map Oil Palm Plantations in Sumatra, Indonesia, Using the Google Earth Engine	Sumatra, Indonesia,	['2.1. Study Site', '2.7. Regions of Interest and Sampling Design']	Riau (; Jambi (; South Sumatra (; Indonesia; Riau; South Sumatra; Jambi; Google; Riau, Jambi,; South Sumatra; Google Earth Engine; Google Earth Engine; Google Earth Engine; SAR	Riau (; Jambi (; South Sumatra (; Indonesia; Riau; South Sumatra; Jambi; Riau, Jambi,; South Sumatra	['           Our study site were the provinces of Riau (0.5333 N, 101.4500 E), Jambi (1.5833 S, 103.6166 E), and South Sumatra (2.9789 S, 104.7584 E), with a total area of 237,000 km2 or 23,700,000 ha.', 'These three provinces are also important oil palm producing provinces, with a total growing extent of ~4 million ha, representing 36% of Indonesia’s total oil palm cultivated extent in 2015 [5].', 'Riau has the largest extent of oil palm cultivated among the three provinces (2,400,876 ha), of which more than half are owned by smallholders (57% or 1,354,503 ha) and the rest (43% or 1,046,373 ha) are owned by industrial government or private estates.', 'South Sumatra has the second largest extent of cultivated oil palm (952,083 ha), of which 45% (431,104 ha) are owned by smallholders and 55% (520,979 ha) are owned by industrial government or private estates.', 'Jambi has the smallest extent of oil palm cultivated (714,399 ha), but the highest proportion of smallholder owned oil palm (63% or 450,075 ha), with the remaining 37% (264,324 ha) owned by industrial government or private estates.', 'To ensure representability of our sample ROIs, we obtained between one and four ROIs for each land-cover class in each regency for each of our provinces of interest; Riau, Jambi, and South Sumatra.']
SEVILLANO, M, E, HERRMANN et al. - IMPROVEMENT OF EXISTING AND DEVELOPMENT	True	IMPROVEMENT OF EXISTING AND DEVELOPMENT OF FUTURE COPERNICUS LAND MONITORING PRODUCTS-THE ECOLASS PROJECT		['2. MATERIALS AND METHODS', 'Methods']			
SICRE, FIEUZAL et al. - CONTRIBUTION OF MULTISPECTRAL OPTICAL	True	Contribution of multispectral (optical and radar) satellite images to the classification of agricultural surfaces		['2. Study site', '4. Method']	southwest France, near the city of Toulouse (; Lamasquère	southwest France, near the city of Toulouse (; Lamasquère	['         The study site was located in southwest France, near the city of Toulouse (centred on coordinates 43°29′36″N, 1°14′14″E, Fig.', 'This area is governed by a temperate climate, as shown by the data collected by the reference weather station situated near the village of Lamasquère.']
SILOU - RÉFÉRENCES CORPS GRAS NON CONVENTIONNELS	False	Corps gras non conventionnels du Bassin du Congo : Caractérisation, biodiversité et qualité	Bassin; Congo	[]			
SONG, WANG - MAPPING WINTER WHEAT PLANTING AREA	False	Mapping Winter Wheat Planting Area and Monitoring Its Phenology Using Sentinel-1 Backscatter Time Series		['2. Study Area and Data', '3. Methodology']	North China; Hebei, Shandong,; Henan; China (; North China; China,; Beijing; Tianjin; Hebei, Shandong, Henan, Anhui,; Jiangsu; NCP,; China,; East Asia; SAR Data Pre-Processing; SAR	North China; Hebei, Shandong,; Henan; China (; North China; China,; Beijing; Tianjin; Hebei, Shandong, Henan, Anhui,; Jiangsu; China,; East Asia	['The test region considered in this study is located in the central part of the North China Plain (NCP) at the juncture of the Hebei, Shandong, and Henan provinces of China (Figure 1).', 'The North China Plain is the second largest plain in China, including Beijing and Tianjin as well as the Hebei, Shandong, Henan, Anhui, and Jiangsu provinces.', 'In the NCP, winter wheat is the main food crop, which occupied about 20% of the entire crop output of China, and therefore plays a vital role in guaranteeing grain security in East Asia [29,30].']
SONOBE - COMBINING ASNARO2 XSAR HH	True	Combining ASNARO-2 XSAR HH and Sentinel-1 C-SAR VH/VV Polarization Data for Improved Crop Mapping		['2.1. Study Area']	Memuro,; Japan (; western Tokachi Plain; western Tokachi	Memuro,; Japan (; western Tokachi Plain; western Tokachi	['The study area is the farming area located in the town of Memuro, Hokkaido, Japan (143°00′30″ average annual temperature of 6 °C, and an annual precipitation of 920 mm.', 'to 143°08′00″E, 42°47′58″ to 42°53′06″N; Figure 1), which is situated on the western Tokachi Plain.', 'MaAtelrtihaolsuganhdthMereethaoredssix main crop types on the western Tokachi Plain, one of these—grass—is poorly represented in this study area.']
SONOBE - PARCELBASED CROP CLASSIFICATION USING MULTITEMPORAL	True	Parcel-Based Crop Classification Using Multi-Temporal TerraSAR-X Dual Polarimetric Data		['2. Materials and Methods', '2.1. Study Area']	western Tokachi Plain,	western Tokachi Plain,	['The experimental area of this study is the farming area of the western Tokachi Plain, Hokkaido,']
SONOBE, TANI et al. - APPLICATION OF MULTITEMPORAL TERRASARX DATA	True	Application of Multi-temporal TerraSAR-X Data to Winter Wheat Planted Areas in Hokkaido, Japan Map	Hokkaido, Japan	['Materials and methods']	western Tokachi; Japan (; equator	western Tokachi; Japan (; equator	['The experimental area of this study is the farming area covering an area of approximately 20.5 km² in the western Tokachi plains, Hokkaido, Japan (Fig.', 'TerraSAR-X is a side-looking X-band synthetic aperture radar (SAR) based on active phased array antenna technology                   and flies in a sun-synchronous dawn-dusk 11 day repeat orbit at an altitude of 514 km at the equator.']
SONOBE, TANI et al. - DISCRIMINATION OF CROP TYPES	True		no-title	['2.1. Study area and field work The study area was a farming area in western Tokachi Plain, Hokkaido, Japan (extent: 142°55′12″ to 143°05′51″E, 42°52′48″ to 43°02′42″N). In total, 5089 fields (1023 bean fields, 616 4']			
SREEDEVI, SREEKANTH et al. - EVALUATION OF GROUNDWATER QUALITY	False	Evaluation of groundwater quality for irrigation in a semi-arid region of South India	South India	['Materials and\xa0methods']	Gooty Mandal; Andhra Pradesh, South India; India (; Peninsular Gneissic Complex (; PGC	Andhra Pradesh, South India; India (	['The Gooty Mandal lies in the part of chronically drought  prone areas of Andhra Pradesh, South India.', 'The total  geographical area is 295\xa0km2 falls in the Survey of India  (SOI) Toposheet no.']
SRIKANTH, RAMANA et al. - COMPARISON OF VARIOUS POLARIMETRIC DECOMPOSITION	True	Comparison of Various Polarimetric Decomposition Techniques for Crop Classification		['Study Area and Crops', 'Methodology']	Guntur; Andhra Pradesh, India; Paddy	Guntur; Andhra Pradesh, India	['The study area selected forms a part of Guntur district, Andhra Pradesh, India.']
SUBBARAO, MANI et al. - ACREAGE ESTIMATION OF KHARIF RICE	True	Acreage estimation of kharif rice crop using Sentinel-1 temporal SAR data		['2 Materials and methods', '2.1 Study area', '2.3 Methodology']	Bhandara; Maharashtra State; Bhandara; Maharashtra State,; Vidarbha region; Bhandara; Köppen; Geiger; Bhandara; Vidarbha region; Wainganga; Surnadi; SAR; Sentinel Scientific Hub; Random Forest,; LAI	Maharashtra State; Vidarbha region; Bhandara; Vidarbha region; Wainganga; Surnadi	['        Bhandara is an administrative district in Maharashtra State and occupies a geographical area of 4087 square kilometres which lies in between 20 640030’ to 21 600180’ N latitude and 79 440930’ to 80 080700’ E longitude (Fig.', 'Bhandara district is commonly known as the ‘RICE BOWL’ of Maharashtra State, and it is a rice dominated district in Vidarbha region.', 'The average temperature of Bhandara district is 27.1 C. The study area receives 1330 mm of rainfall annually and it is highest rainfall in Vidarbha region.', 'It contains more than 3500 small lakes, so it is popularly known as district of lakes and also has two main rivers in the district namely Wainganga and Surnadi.']
SUN, BIAN et al. - USING OF MULTISOURCE AND MULTITEMPORAL	False	Using of Multi-Source and Multi-Temporal Remote Sensing Data Improves Crop-Type Mapping in the Subtropical Agriculture Region		['2. Study Area and Materials', '2.1. Study Area']			
SUN, CHEN et al. - INTEGRATION OF TIME SERIES SENTINEL1	True	Integration of Time Series Sentinel-1 and Sentinel-2 Imagery for Crop Type Mapping over Oasis Agricultural Areas		['2. Materials and Methods', '2.1. Study Area']	Bayingolin Mongol Autonomous Prefecture, Xinjiang Uyghur Autonomous Region, China,; Tianshan Mountains,; Tarim Basin,; Bosten Lake,; Taklimakan Desert; Northwest China; Google; ArcGIS Data Management	Bayingolin Mongol Autonomous Prefecture, Xinjiang Uyghur Autonomous Region, China,; Tianshan Mountains,; Tarim Basin,; Bosten Lake,; Taklimakan Desert; Northwest China	['The study area is located in oasis agricultural areas in Bayingolin Mongol Autonomous Prefecture, Xinjiang Uyghur Autonomous Region, China, encompassing the area 40.61 –42.44 N, 85.82 –87.14 E (Figure 1).', 'This area is situated in the southern foothills of the Tianshan Mountains, on the north-eastern edge of the Tarim Basin, adjacent to the west bank of Bosten Lake, and to the north of the Taklimakan Desert.', 'It has a representative planting pattern in the arid and semi-arid regions of Northwest China.']
SUN, LUO et al. - SYNCHRONOUS RESPONSE ANALYSIS OF FEATURES	True	Synchronous Response Analysis of Features for Remote Sensing Crop Classification Based on Optical and SAR Time-Series Data		['2. Methodology', '3.2. Study Area']	Ningxia Hui Autonomous Region in China (; SAR; Zhongning County; Yellow River,; Yellow River; Zhongning County; Zhongning County	Ningxia Hui Autonomous Region in China (; Zhongning County; Yellow River,; Yellow River; Zhongning County; Zhongning County	['Zhongning is a county that belongs to the Ningxia Hui Autonomous Region in China (Figure 6a).', 'Thus, we selected Zhongning County as the study area.', 'In the north of this county is the Yellow River, and there are extensive mountain ranges in the southern area, which makes it unsuitable for crops.', 'The northern part of the county belongs to the Yellow River basin and features widespread plains with fertile soil; thus, this area is the main agricultural region in Zhongning County.', 'The brightest region here in Zhongning County is the major agricultural area, and the regions with red features are the mountainous areas, which have a strong backscatter intensity.']
SVENDSEN, SKRIVER et al. - INVESTIGATION OF POLARIMETRIC SAR DATA	False	Investigation of Polarimetric SAR Data Acquired at Multiple Incidence Angles		[]			
TAMIMINIA, HOMAYOUNI et al. - CLUSTERING OF MULTITEMPORAL FULLY POLARIMETRIC	False	CLUSTERING OF MULTI-TEMPORAL FULLY POLARIMETRIC L-BAND SAR DATA FOR AGRICULTURAL LAND COVER MAPPING		['2.  METHODOLOGY ', 'Method ']	Bruzzone,; Smola,; Hilbert	Smola,	['In  machine  learning,  kernel  methods  are  used  for  classification,  clustering,  regression,  density  estimation  and  visualization  with  heterogeneous  types  of  data,  such  as  time  series,  images,  strings  or  objects  (Schölkopf  and  Smola,  2002).']
TAN, KOAY et al. - CLASSIFICATION OF MULTITEMPORAL SAR IMAGES	False	CLASSIFICATION OF MULTI-TEMPORAL SAR IMAGES FOR RICE CROPS USING COMBINED ENTROPY DECOMPOSITION AND SUPPORT VECTOR MACHINE TECHNIQUE		[]			
TEIMOURI, DYRMANN et al. - A NOVEL SPATIOTEMPORAL FCNLSTM NETWORK	True	A Novel Spatio-Temporal FCN-LSTM Network for Recognizing Various Crop Types Using Multi-Temporal Radar Images		['2. Materials', '3. Methods']	Sentinel; Denmark; Denmark	Denmark; Denmark	['Since the area used for evaluating the network varies geographically and in terms of soil and crop types, the results are believed to be generalizable to the rest of Denmark.', 'It is observed that the satellite data were collected from specific geographic regions because of the distribution of various agricultural crop types in these areas in growth season for di erent crops in Denmark.']
TIAN, PEI et al. - GARLIC AND WINTER WHEAT IDENTIFICATION	True	Garlic and Winter Wheat Identification Based on Active and Passive Satellite Imagery and the Google Earth Engine in Northern China	Google Earth Engine in Northern China	['2. Study Area', '3. Materials and Methods']	Northern China; China; China; Zhongmou county, Qixian county, Jinxiang county,; Pizhou city,; Daming county (	Northern China; China; China; Zhongmou county, Qixian county, Jinxiang county,; Pizhou city,; Daming county (	['The study area is located in Northern China with a geographical range of 113.5 to 118.5 E and 34 to 36.6 N, as shown in Figure 1.', 'The study area is one of the main producing areas of garlic and winter wheat in China.', 'There are six China protected geographical indication products (CPGI, http://www.cpgi.org.cn/) for garlic in the study area, i.e., Zhongmou county, Qixian county, Jinxiang county, Lanling (Cangshan) county, Pizhou city, and Daming county (Figure 1b).']
TIAN, WU et al. - EFFICIENT IDENTIFICATION OF CORN CULTIVATION	True	Efficient Identification of Corn Cultivation Area with Multitemporal Synthetic Aperture Radar and Optical Images in the Google Earth Engine Cloud Platform		['2.1. Study Area']	Hebei Province,; Hebei; Bohai Sea; Beijing; Tianjin in the; Taihang Mountain; Yanshan; North China; Hebei Province; Hebei Province; Hebei,; Chengde, Zhangjiakou; Chengde, Zhangjiakou	Hebei Province,; Hebei; Bohai Sea; Beijing; Tianjin in the; Taihang Mountain; Yanshan; North China; Hebei Province; Hebei Province; Hebei,; Chengde, Zhangjiakou; Chengde, Zhangjiakou	['         The study area is Hebei Province, which includes 11 prefecture-level cities (Figure 1).', 'Hebei is adjacent to the Bohai Sea to the east, Beijing and Tianjin in the inner area, Taihang Mountain to the west, and Yanshan to the north, and it encompasses the North China Plain to the southeast, which is Hebei Province’s major corn production area.', 'The total cropland area of Hebei Province is 65,200 km2 (out of 188,800 km2 of total province area), and the corn area is 31,910 km2, accounting for approximately 48.94% of the total cropland according to 2016 national census data [                   ].', 'The crops in Hebei, except in the northwest region, are grown for two seasons: winter wheat crops are grown during the prior year’s winter (October to November) and harvested in the summer (May to June) of Rpermiootre Syenesa.', 'Occasionally, cotton is sown in the northwestern part of this region, including Chengde, Zhangjiakou and certain mountainous areas, spring (March to April) and harvested in the autumn (September to October).', 'part of this region, including Chengde, Zhangjiakou and certain mountainous areas, corn is planted in Details and further information about the major crop calendar in this region are exhibited in Figure the spring (April to May) and harvested in the autumn (September to October).']
TOMPPO, ANTROPOV et al. - CROPLAND CLASSIFICATION USING SENTINEL1 TIME	True	Cropland Classification Using Sentinel-1 Time Series: Methodological Performance and Prediction Uncertainty Assessment		['2. Materials and Methods', '2.3. Methods']	southwest Finland,; Food Authority; Finland (; Tomppo; Halme; SAR Metrics Used in the	southwest Finland,; Finland (	['         The methods were developed and the results demonstrated and discussed using one test site from southwest Finland, located in the Eura municipality (Figure 1), crop data from the test site, provided by the Finnish Food Authority [                   ] and seventeen 17 Sentinel-1 scenes.', 'Nearest neighbour methods became popular in forest and other environmental applications since they were launched for forest inventory applications in the early 1990s in Finland (e.g., [                       ]).']
TORBICK, SALAS - MAPPING AGRICULTURAL WETLANDS	True	Mapping agricultural wetlands in the Sacramento Valley, USA with satellite remote sensing	Sacramento Valley, USA	['Methods', 'Study area']	central Valley of California, USA; Sacramento Valley region; central California; Rice; Pacific Flyway; EPA; California Air Resources Board,; California; Rice; northern Valley region; USDA; NCM HW; Valley	central Valley of California, USA; Sacramento Valley region; central California; Pacific Flyway; California; northern Valley region; Valley	['          The study area (center *121.5W, 38.25N) in this application covers 33,000 km2 across the entire northern and central Valley of California, USA.', 'Figure 1 displays the Sacramento Valley region within central California with a color relief digital elevation model (DEM).', 'The ecosystem serves as habitat for many species of migratory waterfowl and is a key geography along the Pacific Flyway                       .', 'According to the EPA’s 2011 national greenhouse gas inventory and California Air Resources Board, rice production in California is responsible for 0.6 million metric tons (MMT) of CO2 equivalent annually.', 'Most paddies are clustered in the northern Valley region with some watersheds comprised of more than 50 % rice land use.', 'Climate varies across the Valley with the area classified as temperate with warm to hot (*28 C) summer months and cool winters (*6 C).']
ULABY, LI et al. - CROP CLASSIFICATION USING AIRBORNE RADAR	False	Supporting Research		[]			
ULLOA, CHIANG et al. - FLOOD PROXY MAPPING WITH NORMALIZED	True	Flood Proxy Mapping with Normalized Di erence Sigma-Naught Index and Shannon's Entropy		['3. Materials', '4. Methods']	European Space Agency (; European Space Agency (		
URBAN, SCHELLENBERG et al. - USING SENTINEL1 AND SENTINEL2 TIME	True	Article Using Sentinel-1 and Sentinel-2 Time Series for Slangbos Mapping in the Free State Province, South Africa	Free State Province, South Africa	['2. Materials antdral Mdaetatahroeedxsamined to conclude the temporal variations observing Seriphium plumosum.', '2.3. Methods']	Ladybrand in the east; Botshabelo in the west (; Highveld; SAR; GAMMA Remote Sensing AG,; Gümligen, Switzerland)	Ladybrand in the east; Botshabelo in the west (; Highveld	['90 km by 50 km (4500 km2) aTrheeamloonciatotreindgionf stlhanegFborseeenScrtoaatcehmPernotvwinascecabrreietdwoeuetnonthaneatpopwronx.s90ofkmLabdyybrand in the east and5B0oktms h(4a5b00eklom²i)nartehaelowcateesdtin(FthigeuFrreee S1t)a.te Province between the towns of Ladybrand in the east and Botshabelo in the west (Figure 1).', '          The region is part of the Highveld grassland ecosystem (1300 m–1700 m a.s.l.']
USEYA, CHEN - EXPLORING THE POTENTIAL OF MAPPING	True	Exploring the Potential of Mapping Cropping Patterns on Smallholder Scale Croplands Using Sentinel-1 SAR Data		['Study Area and Data', '2.1 Study area', 'Methodology']	CIMMYT; Harare, Zimbabwe; CIMMYT; Chipinge; Zimbabwe,; Zimbabwe; Africa; Zimbabwe; Zimbabwe; Zimbabwe	Harare, Zimbabwe; Chipinge; Zimbabwe,; Zimbabwe; Africa; Zimbabwe; Zimbabwe; Zimbabwe	['          Two study sites were chosen for this research, the first location is CIMMYT research station and a few neighboring fields situated in Harare, Zimbabwe bounded by 17°43′14″E and 17°44′16″E, 30°59′40″S and 31°15′00″S with an average altitude of 1489 m (Fig.', '          The second study site is Middle Sabi Estates in Chipinge district, Zimbabwe, bounded by latitudes of 20º08′12″E and 20º23′38″E and longitudes 32º18′07″S and 32º23′58″S (Fig.', '          Zimbabwe is a landlocked country in the Southern part of Africa and is generally an agricultural based country with a well-developed and diversified agricultural sector producing food crops and cash crops.', 'As of 2015, agriculture accounted for 18% of Zimbabwe’s gross domestic product (GDP)                       .', 'Zimbabwe has two distinct seasons, namely summer and winter.', 'Zimbabwe has a temperate climate.']
USTUNER, SANLI - POLARIMETRIC TARGET DECOMPOSITIONS AND LIGHT	True	Polarimetric Target Decompositions and Light Gradient Boosting Machine for Crop Classification: A Comparative Evaluation		['2. Study Site and Dataset']	Konya city	Konya city	['The test site contains about 42 km2 of agricultural land, and it is situated approximately 65 km north of Konya city center (see Figure 1), extending from 38 430 to 38 530 North latitudes and 32 430 to 32 530 East longitudes.']
USTUNER, SANLI et al. - AN APPLICATION OF ROLLINVARIANT POLARIMETRIC	False	AN APPLICATION OF ROLL-INVARIANT POLARIMETRIC FEATURES FOR CROP CLASSIFICATION FROM MULTI-TEMPORAL RADARSAT-2 SAR DATA		['2. METHODOLOGY']			
VALCARCE-DINEIRO, ARIAS-PEREZ et al. - MULTITEMPORAL DUAL AND QUADPOLARIMETRIC SYNTHETIC	True	Multi-Temporal Dual- and Quad-Polarimetric Synthetic Aperture Radar Data for Crop-Type Mapping		['2. Materials and Methods', '2.1. Study Area and Ground Truth']	central Spain; Castilla; Mediterranean; Castilla; Agriculture Technological Institute of Castilla	central Spain; Mediterranean; Agriculture Technological Institute of Castilla	['The study area is located in central Spain and covers an area of approximately 35 km x 18 km in the Castilla y Leon region (Figure 1).', 'The climate is continental semiarid Mediterranean characterized by dry and warm summers and cool to mild and wet winters.', 'Since 2011, the Agriculture Technological Institute of Castilla y Leon (ITACCroypL)Tmypaep seNrvuimceb(ehrtotpf:p//lmotcssncTyol.ittaalcayrle.eas(/hena/)desAcvaergraag)eharseuapodfaptleodtst h(heaL) U/LC maps annually.']
VAN, T, K, GOBIN et al. - SYNERGISTIC USE OF RADAR SENTINEL1	True	Synergistic Use of Radar Sentinel-1 and Optical Sentinel-2 Imagery for Crop Mapping: A Case Study for Belgium	Belgium	['2. Materials and Methods']	Integrated Administration; (IACS); Land Parcel Information System (; Belgium,; Belgium	Belgium,; Belgium	['In Belgium, this is arranged at the regional level, resulting in two similar datasets for the Flemish and the Walloon regions.', 'Belgium’s utilized agricultural land covers 1,341,487 ha, out of which 30% is grassland, 2% permanent crops, and 68% arable land.']
VENKATESAN, PAZHANIVELAN et al. - MULTITEMPORAL FEATURE EXTRACTION FOR PRECISE	True	MULTI-TEMPORAL FEATURE EXTRACTION FOR PRECISE MAIZE AREA MAPPING USING TIME-SERIES SENTINEL 1A SAR DATA		['METHODOLOGY', 'Study area']	Tamil Nadu; Perambalur; Ariyalur	Tamil Nadu; Perambalur; Ariyalur	['Ariyalur and Perambalur are inland districts of Tamil Nadu with an area of 1949 sq.km and 1757 sq.km, respectively.', 'Black and red loamy are the predominant soil types in Perambalur district.', 'Sugarcane and cashew are the major crops of Ariyalur district.']
VERMA, KUMAR et al. - KHARIF CROP CHARACTERIZATION USING COMBINATION	True	Kharif crop characterization using combination of SAR and MSI Optical Sentinel Satellite datasets		['2. Study area and data', '2.1 Study area', '3. Methodology']	Ranchi; Kanke,; Ratu; eastern India (; South Koel; Ranchi; Kanke; Ratu; MSI; European Space Agency (; Sentinel Scientific Data Hub (; LULC; LULC	Ranchi; eastern India (; South Koel; Ranchi	['          The study area comprises administrative blocks of Ranchi district namely, Kanke, Mandar, and Ratu blocks, located in the eastern India (figure 1).', 'The main river systems are Subarnarekha, South Koel and its tributaries.', 'Ranchi has a hilly topography with dense tropical forest.']
VERMA, NANDAN - KNOWLEDGE BASED CLASSIFIER BASED	False	KNOWLEDGE BASED CLASSIFIER BASED ON BACKSCATTERING COEFFICIENT FOR MONITORING THE CROP GROWTH ANALYSIS USING MULTI-TEMPORAL IMAGES OF SPACE-BORNE SYNTHETIC APERTURE RADAR (SAR) SENSORS		[]			
VESCOVI, GOMARASCA - INTEGRATION OF OPTICAL AND MICROWAVE	False	INTEGRATION OF OPTICAL AND MICROWAVE REMOTE SENSING DATA FOR AGRICULTURAL LAND USE CLASSIFICATION		[]			
VESTERGAARD, DAHL et al. - CLASSIFICATION OF POLARIMETRIC SAR DATA	False	Classification of Polarimetric SAR Data Using Dictionary Learning		[]			
VILLA, STROPPIANA et al. - INSEASON MAPPING OF CROP TYPE	True	In-Season Mapping of Crop Type with Optical and X-Band SAR Data: A Classification Tree Approach Using Synoptic Seasonal Features		['2. Materials', '2.1. Study Area', '3. Methods']	Lombardy region, northern Italy (; Milan; Po river; Lombardy; Rice	Lombardy region, northern Italy (; Milan; Po river; Lombardy	['          The study area is located in Lombardy region, northern Italy (Figure 1); it lies south of Milan and it is bordered by the Po river.', 'The most economically valuable crop types cultivated in Lombardy are (in per cent of total cropland area): maize (38.5%), temporary and permanent meadows used for forages (34.1%), rice (10.1%), winter cereals (wheat and barley, 7.5%), soybean and other legumes (2.7%), and vegetables (1.4%) [                       ].']
WANG, CAO et al. - A REVIEW OF DEEP LEARNING	False	A Review of Deep Learning in Multiscale Agricultural Sensing		[]			
WANG, CHEN et al. - CROPS PLANTING STRUCTURE AND KARST	True	Crops planting structure and karst rocky desertification analysis by Sentinel-1 data		['2 Materials and methods', '2.1 Study area', '3 Methods']	Anshun city, Guizhou province,; Guizhou; China; Multisource; Google; GE; ESA; State Engineering Technology; Anshun; Anshun	Anshun city, Guizhou province,; Guizhou; China; Anshun; Anshun	['The study area shown in Figure 1 is located in Anshun city, Guizhou province, between 106°3ʹ0ʺ E to 106°17ʹ22ʺ E and 26°11ʹ7ʺ N to 26°23ʹ38ʺ N, covering an area of approximately 322.11 km².', 'Those are scarce resources in Guizhou province which is the only province in China without any plain.', '2018 to Aug. 2018 with IW mode and VV nomic data such as Anshun statistical yearbook were downpolarization were chosen for crop classification (Table 2).', 'loaded from the web of Anshun people’s government.']
WANG, LI et al. - ANALYSIS OF COMBINING SAR	True	Analysis of Combining SAR and Optical Optimal Parameters to Classify Typhoon-Invasion Lodged Rice: A Case Study Using the Random Forest Method		['2. Study Area and Data', '2.1. Study Area']	Qindeli; Tongjiang City, Heilongjiang Province, China (; Heilongjiang Province,; China; Qindeli Farm	Qindeli; Tongjiang City, Heilongjiang Province, China (; Heilongjiang Province,; China; Qindeli Farm	['The study area is situated within Qindeli farm (Figure 1), Tongjiang City, Heilongjiang Province, China (47 51031” N, 133 7032” E).', 'The study area is located in a humid monsoon climate zone, in the third accumulated temperature zone in Heilongjiang Province, being one of the important commodity grain production bases in China.', 'The total cultivated area of Qindeli Farm is about 52,800 hectares, of which rice planting accounts for more than 80% of the total cultivated area.']
